DEPTH,R4,COND,SP,GR,AC
1757.875,2.274,437.238,25.732,70.988,351.462
1758,2.366,428.8,25.732,69.944,340.582
1758.125,2.588,410.661,25.739,73.498,310.359
1758.25,2.941,393.358,25.833,75.123,287.899
1758.375,3.238,381.545,25.833,79.29,291.63
1758.5,3.534,371.261,25.833,79.01,309.948
1758.625,3.681,373.022,25.834,77.549,320.233
1758.75,3.48,379.046,25.834,75.956,329.019
1758.875,3.275,390.756,25.834,74.719,337.153
1759,3.11,398.951,25.834,72.597,333.644
1759.125,2.998,404.731,25.834,78.409,323.755
1759.25,2.958,404.723,25.531,79.034,311.753
1759.375,3.009,410.586,25.228,77.076,300.41
1759.5,3.105,410.579,25.026,79.831,304.67
1759.625,3.199,412.022,24.868,78.895,322.434
1759.75,3.048,416.519,24.824,77.665,335.814
1759.875,2.778,425.437,24.723,76.637,346.024
1760,2.43,434.892,24.43,77.891,356.375
1760.125,2.163,434.884,24.014,79.181,365.284
1760.25,1.941,434.876,23.7,80.027,361.769
1760.375,1.793,434.868,23.284,80.129,346.975
1760.5,1.793,428.359,22.836,78.994,332.735
1760.625,1.884,415.513,22.305,81.892,320.731
1760.75,2.125,398.85,21.907,79.783,305.167
1760.875,2.381,372.319,21.283,77.207,294.488
1761,2.597,347.825,20.903,75.427,283.033
1761.125,2.893,309.47,20.588,74.6,270.253
1761.25,3.13,283.379,20.173,74.272,278.869
1761.375,3.321,270.946,19.743,74.059,290.048
1761.5,3.431,266.555,19.405,73.766,297.838
1761.625,3.594,258.904,19.027,73.364,308.28
1761.75,3.683,254.514,18.664,73.967,317.389
1761.875,3.61,243.872,18.398,73.754,325.617
1762,3.544,237.632,17.982,73.034,331.051
1762.125,3.522,228.948,17.585,72.483,328.054
1762.25,3.522,220.959,17.353,73.407,330.171
1762.375,3.665,209.315,17.144,75.777,333.285
1762.5,4.013,200.132,17.128,74.35,337.399
1762.625,4.25,194.134,16.942,73.523,339.51
1762.75,4.551,185.747,16.942,75.076,341.053
1762.875,4.812,181.625,16.942,73.993,338.712
1763,5.006,174.641,16.943,72.54,335.257
1763.125,5.212,170.489,16.943,71.289,332.096
1763.25,5.481,168.049,16.985,70.083,330.03
1763.375,5.704,168.046,17.14,68.987,328.047
1763.5,5.87,168.043,17.562,68.136,328.047
1763.625,6.015,165.638,17.989,66.103,330.4
1763.75,6.096,165.665,18.387,66.497,333.513
1763.875,6.147,170.472,18.631,72.756,338.416
1764,6.023,173.54,19.17,71.281,340.896
1764.125,5.935,186.799,19.565,69.97,341.248
1764.25,5.773,198.2,19.949,73.034,335.676
1764.375,5.608,221.407,20.552,73.364,332.019
1764.5,5.443,252.88,21.082,72.981,329.045
1764.625,5.143,302.399,21.811,71.751,332.794
1764.75,4.675,360.019,22.421,71.126,354.224
1764.875,4.181,416.461,22.802,75.275,383.96
1765,3.848,441.858,23.455,77.001,399.829
1765.125,3.464,460.329,23.847,79.878,411.471
1765.25,3.021,469.588,24.443,81.685,404.2
1765.375,2.765,480.632,24.803,85.081,391.293
1765.5,2.557,493.284,25.118,88.272,374.84
1765.625,2.532,501.829,25.534,91.048,360.595
1765.75,2.754,474.765,25.849,88.213,342.239
1765.875,3.006,457.11,26.062,85.967,316.556
1766,3.245,446.751,26.361,84.112,300.583
1766.125,3.47,433.336,26.648,82.598,288.54
1766.25,3.843,420.344,26.726,81.71,278.193
1766.375,4.094,416.117,26.873,80.156,281.481
1766.5,4.276,410.161,26.991,78.905,297.682
1766.625,4.499,410.154,27.053,78.223,307.077
1766.75,4.704,422.129,27.053,79.951,301.878
1766.875,4.867,434.453,27.053,83.258,299.031
1767,4.992,440.746,27.053,85.018,314.556
1767.125,5.105,453.614,27.053,86.352,339.013
1767.25,5.133,464.208,26.98,88.894,356.073
1767.375,4.746,475.853,26.924,90.869,377.207
1767.5,4.339,494.517,26.851,90.088,383.227
1767.625,3.967,513.034,26.812,88.244,370.235
1767.75,3.757,521.309,26.75,89.313,355.893
1767.875,3.557,539.107,26.649,88.063,343.044
1768,3.352,554.038,26.612,85.683,353.706
1768.125,3.227,554.835,26.486,88.367,369.607
1768.25,3.102,555.332,26.43,88.191,383.56
1768.375,2.977,562.86,26.297,86.707,392.9
1768.5,2.889,571.012,26.246,86.56,381.433
1768.625,2.767,579.282,26.189,85.778,375.231
1768.75,2.682,579.271,26.054,84.471,387.9
1768.875,2.559,587.66,25.946,84.424,391.813
1769,2.473,587.649,25.79,83.42,383.187
1769.125,2.388,563.383,25.625,83.501,371.835
1769.25,2.292,554.422,25.285,87.195,354.452
1769.375,2.189,528.885,24.895,84.76,339.494
1769.5,2.079,499.549,24.48,82.774,327.986
1769.625,2.009,470.846,24.195,80.449,316.835
1769.75,2.067,443.759,23.779,76.584,302.494
1769.875,2.359,414.538,23.477,70.934,290.238
1770,2.578,388.521,23.222,68.787,277.346
